data,t_max,t_min,t_mean,precip_mm,humidade_perc,radiacao_w_m2
2019-04-03,19.6,10.1,14.8,0.0,64.4,292.7
2019-04-04,20.5,12.1,16.3,0.0,59.0,230.3
2019-04-05,20.6,12.9,16.7,0.0,42.0,238.6
2019-04-06,18.6,11.0,14.8,0.0,63.3,256.9
2019-04-07,22.3,10.5,16.4,0.0,63.6,182.7
2019-04-08,22.4,14.7,18.5,0.0,53.2,280.5
2019-04-09,22.0,15.5,18.8,0.0,47.2,155.1
2019-04-10,21.7,14.2,17.9,0.0,74.8,209.9
2019-04-11,19.5,12.5,16.0,0.0,64.9,221.7
2019-04-12,21.7,10.9,16.3,0.0,57.7,255.4
2019-04-13,22.0,11.0,16.5,0.0,48.6,247.0
2019-04-14,21.3,13.9,17.6,0.0,51.8,237.9
2019-04-15,22.7,13.9,18.3,13.8,93.0,245.0
2019-04-16,24.0,16.0,20.0,0.0,61.4,218.5
2019-04-17,27.1,14.7,20.9,0.0,54.5,205.4
2019-04-18,23.9,10.5,17.2,0.0,65.1,274.5
2019-04-19,24.2,15.8,20.0,0.0,51.9,275.9
2019-04-20,23.7,11.8,17.8,0.0,75.0,305.1
2019-04-21,20.2,13.2,16.7,8.7,93.5,236.2
2019-04-22,24.1,14.7,19.4,0.0,55.3,283.0
2019-04-23,24.4,18.3,21.4,0.0,53.7,256.1
2019-04-24,29.4,20.7,25.0,0.0,33.8,302.6
2019-04-25,24.2,15.8,20.0,0.0,45.2,299.9
2019-04-26,25.4,14.4,19.9,0.0,46.6,277.8
2019-04-27,24.8,16.0,20.4,0.0,61.4,263.6
2019-04-28,22.7,16.8,19.8,0.0,56.7,304.8
2019-04-29,27.5,14.6,21.0,0.0,46.5,297.6
2019-04-30,26.9,19.0,22.9,0.0,57.2,259.9
2019-05-01,27.1,16.0,21.5,0.0,65.1,242.7
2019-05-02,23.8,16.6,20.2,0.0,65.3,276.1
2019-05-03,28.6,17.1,22.9,0.0,41.0,332.3
2019-05-04,23.1,16.8,19.9,0.0,58.7,323.3
2019-05-05,27.2,17.7,22.5,0.0,46.2,257.6
2019-05-06,30.6,15.0,22.8,0.0,69.0,258.0
2019-05-07,24.4,15.2,19.8,0.0,67.8,333.3
2019-05-08,25.3,14.3,19.8,0.0,51.0,263.0
2019-05-09,26.8,17.5,22.1,0.0,52.3,314.3
2019-05-10,25.7,18.3,22.0,0.0,55.4,282.4
2019-05-11,23.8,17.8,20.8,0.0,37.5,351.3
2019-05-12,27.1,20.3,23.7,0.0,63.4,281.6
2019-05-13,25.0,17.1,21.0,0.0,57.3,340.8
2019-05-14,28.2,18.6,23.4,0.0,69.7,313.8
2019-05-15,25.5,15.2,20.3,0.0,49.0,317.6
2019-05-16,30.6,16.7,23.6,0.0,53.8,252.7
2019-05-17,26.0,19.0,22.5,0.0,44.9,247.4
2019-05-18,27.0,19.4,23.2,0.0,50.0,308.6
2019-05-19,29.4,17.2,23.3,0.0,48.2,324.2
2019-05-20,25.4,17.8,21.6,0.0,70.0,284.7
2019-05-21,28.5,15.0,21.7,0.0,53.0,287.3
2019-05-22,30.7,17.4,24.1,0.0,61.2,338.4
2019-05-23,25.0,20.0,22.5,0.0,56.2,339.9
2019-05-24,28.7,19.4,24.1,0.0,47.3,320.3
2019-05-25,28.9,19.4,24.2,0.0,58.3,349.3
2019-05-26,30.0,18.6,24.3,0.0,66.0,292.1
2019-05-27,26.1,18.6,22.3,0.0,47.9,318.0
2019-05-28,26.0,17.3,21.7,0.0,68.1,379.4
2019-05-29,29.8,20.1,25.0,0.0,51.5,333.3
2019-05-30,29.4,19.7,24.5,0.0,55.2,336.2
2019-05-31,29.4,19.9,24.7,0.0,65.3,400.0
2019-06-01,29.7,17.9,23.8,0.0,53.4,292.8
2019-06-02,27.7,14.8,21.2,0.0,60.4,359.8
2019-06-03,29.6,21.3,25.5,0.0,56.9,386.9
2019-06-04,29.8,18.2,24.0,0.0,61.3,328.3
2019-06-05,27.8,17.5,22.7,0.0,36.2,364.8
2019-06-06,33.1,20.7,26.9,0.0,41.7,310.5
2019-06-07,30.3,18.6,24.5,0.0,66.2,320.3
2019-06-08,27.1,21.6,24.3,0.0,70.4,353.3
2019-06-09,30.8,20.7,25.8,0.0,50.9,366.5
2019-06-10,27.6,20.9,24.3,0.0,57.6,377.0
2019-06-11,31.2,16.9,24.0,0.0,62.9,391.2
2019-06-12,32.0,22.1,27.0,0.0,66.9,342.7
2019-06-13,28.1,20.2,24.1,0.0,39.7,381.2
2019-06-14,31.7,19.0,25.3,0.0,51.1,335.8
2019-06-15,30.6,20.1,25.3,0.0,56.7,373.7
2019-06-16,31.5,16.3,23.9,0.0,67.0,353.4
2019-06-17,33.6,20.7,27.1,0.0,85.0,361.0
2019-06-18,29.4,17.8,23.6,0.0,57.7,360.8
2019-06-19,28.4,17.2,22.8,0.0,45.9,300.3
2019-06-20,28.1,16.9,22.5,0.0,64.0,315.1
2019-06-21,28.3,22.2,25.2,0.0,73.2,352.2
2019-06-22,29.8,18.7,24.3,6.1,81.1,298.7
2019-06-23,30.7,23.0,26.8,0.0,50.9,374.5
2019-06-24,30.5,18.9,24.7,0.0,69.6,375.9
2019-06-25,31.6,16.6,24.1,0.0,66.6,359.7
2019-06-26,30.0,17.8,23.9,0.0,49.7,316.3
2019-06-27,32.9,22.5,27.7,0.0,63.8,391.4
2019-06-28,29.5,19.7,24.6,0.0,70.0,400.0
2019-06-29,35.4,18.9,27.2,0.0,71.8,354.4
2019-06-30,31.2,20.3,25.8,0.0,59.3,365.2
2019-07-01,28.3,21.0,24.6,0.0,56.4,355.8
2019-07-02,27.8,22.2,25.0,0.0,72.3,365.4
2019-07-03,30.9,22.9,26.9,0.0,47.9,345.7
2019-07-04,29.5,19.2,24.4,0.0,64.4,348.0
2019-07-05,31.3,17.3,24.3,0.0,46.3,375.9
2019-07-06,30.8,19.1,25.0,0.0,70.7,400.0
2019-07-07,29.7,20.4,25.1,0.0,57.4,305.9
2019-07-08,28.1,17.9,23.0,0.0,72.7,344.4
2019-07-09,26.8,17.9,22.3,0.0,64.9,311.6
2019-07-10,28.9,20.5,24.7,0.0,47.8,394.2
2019-07-11,31.4,19.6,25.5,0.0,74.2,328.3
2019-07-12,30.1,19.8,24.9,0.0,75.5,302.0
2019-07-13,27.1,18.1,22.6,0.0,68.8,363.8
2019-07-14,29.9,19.1,24.5,0.0,52.4,396.2
2019-07-15,30.3,17.7,24.0,0.0,56.9,363.1
2019-07-16,27.7,21.3,24.5,0.0,61.5,348.5
2019-07-17,29.7,21.5,25.6,0.0,53.0,353.8
2019-07-18,29.5,15.7,22.6,0.0,76.9,383.1
2019-07-19,27.0,17.5,22.2,0.0,61.4,313.5
2019-07-20,30.0,16.3,23.1,0.0,33.0,335.4
2019-07-21,30.3,17.9,24.1,0.0,63.4,324.2
2019-07-22,31.3,18.9,25.1,0.0,56.5,301.7
2019-07-23,31.2,16.1,23.6,0.0,59.3,325.8
2019-07-24,26.2,17.1,21.7,0.0,56.3,367.8
2019-07-25,27.0,16.9,21.9,0.0,68.1,350.4
2019-07-26,29.8,19.2,24.5,0.0,71.2,351.5
2019-07-27,29.8,18.9,24.3,4.7,82.8,335.3
2019-07-28,29.7,17.2,23.4,0.0,56.6,345.3
2019-07-29,36.3,18.9,27.6,0.0,59.6,304.3
2019-07-30,29.6,17.4,23.5,0.0,60.2,317.7
2019-07-31,30.6,17.8,24.2,0.0,52.0,331.3
2019-08-01,30.2,21.6,25.9,0.0,65.8,332.5
2019-08-02,29.5,20.9,25.2,0.0,64.6,332.3
2019-08-03,27.4,15.5,21.5,0.0,75.4,317.0
2019-08-04,29.5,19.6,24.6,0.0,72.6,308.3
2019-08-05,26.3,19.5,22.9,24.0,73.1,400.0
2019-08-06,27.3,15.5,21.4,0.0,68.2,343.7
2019-08-07,26.7,19.3,23.0,0.0,50.5,327.2
2019-08-08,27.7,20.6,24.2,0.0,67.0,306.1
2019-08-09,32.1,15.2,23.6,0.0,54.8,297.9
2019-08-10,23.6,15.5,19.5,0.0,49.8,305.8
2019-08-11,28.6,19.2,23.9,0.0,62.8,316.7
2019-08-12,23.8,17.6,20.7,0.0,33.3,249.7
2019-08-13,26.0,18.1,22.0,0.0,42.5,257.2
2019-08-14,29.0,17.5,23.3,0.0,58.2,283.3
2019-08-15,26.8,17.5,22.2,0.0,60.8,306.7
2019-08-16,24.4,13.9,19.2,0.0,56.3,291.4
2019-08-17,25.0,18.5,21.8,0.0,44.2,340.9
2019-08-18,27.7,18.6,23.2,0.0,51.8,250.1
2019-08-19,24.7,15.7,20.2,0.0,63.9,270.0
2019-08-20,26.5,15.9,21.2,0.0,65.8,336.1
2019-08-21,26.0,12.8,19.4,0.0,59.8,292.4
2019-08-22,24.5,16.8,20.6,0.0,71.6,312.9
2019-08-23,29.9,16.8,23.3,0.0,64.0,345.8
2019-08-24,26.7,15.3,21.0,0.0,52.5,261.3
2019-08-25,21.3,17.6,19.4,0.0,57.2,276.9
2019-08-26,25.6,14.5,20.0,0.0,46.0,269.5
2019-08-27,23.7,16.2,19.9,0.0,58.9,216.9
2019-08-28,26.6,12.8,19.7,0.0,71.1,263.9
2019-08-29,23.1,14.7,18.9,0.0,66.9,297.4
2019-08-30,24.4,14.2,19.3,0.0,74.0,284.9
2019-08-31,25.4,14.9,20.2,0.0,57.0,285.0
2019-09-01,26.0,13.5,19.8,0.0,73.5,252.8
2019-09-02,21.7,13.9,17.8,0.0,58.1,242.0
2019-09-03,23.3,15.6,19.4,0.0,74.7,297.4
2019-09-04,22.8,12.9,17.9,0.0,59.8,242.1
2019-09-05,22.3,10.4,16.4,0.0,67.1,263.4
2019-09-06,27.0,17.0,22.0,0.0,74.8,257.1
2019-09-07,24.1,16.1,20.1,0.0,58.1,293.6
2019-09-08,20.6,10.6,15.6,0.0,62.2,276.4
2019-09-09,24.8,14.4,19.6,0.0,72.9,206.0
2019-09-10,27.1,11.8,19.4,0.0,58.7,206.7
2019-09-11,24.7,13.2,19.0,0.0,46.8,257.3
2019-09-12,19.5,13.1,16.3,0.0,81.4,235.5
2019-09-13,21.4,11.9,16.6,0.0,55.3,221.2
2019-09-14,24.7,10.6,17.6,0.0,61.6,262.8
2019-09-15,20.6,10.6,15.6,0.0,71.6,235.5
2019-09-16,22.7,10.0,16.3,0.0,53.9,228.9
2019-09-17,23.2,10.0,16.6,0.0,49.9,248.2
2019-09-18,19.6,11.3,15.5,0.0,62.5,211.0
2019-09-19,21.2,9.9,15.5,0.0,42.1,266.7
2019-09-20,14.7,12.5,13.6,0.0,57.1,193.5
2019-09-21,18.9,13.9,16.4,0.0,62.5,234.2
2019-09-22,20.3,9.6,15.0,0.0,57.3,255.0
2019-09-23,18.1,11.1,14.6,0.0,44.6,168.1
2019-09-24,23.7,11.5,17.6,0.0,75.9,196.5
2019-09-25,17.4,11.2,14.3,0.0,61.0,238.5
2019-09-26,19.2,10.3,14.7,0.0,74.3,236.4
2019-09-27,20.2,11.4,15.8,0.0,57.4,193.9
2019-09-28,22.6,10.7,16.7,0.0,51.2,174.4
2019-09-29,16.7,7.1,11.9,0.0,62.7,222.6
2019-09-30,21.7,11.2,16.5,0.0,57.8,226.8
2019-10-01,19.3,11.0,15.1,0.2,68.2,153.8
2019-10-02,17.1,7.6,12.3,0.0,74.7,150.1
2019-10-03,19.8,9.0,14.4,0.0,53.8,190.4
2019-10-04,19.1,10.1,14.6,0.0,41.6,199.9
2019-10-05,17.4,8.1,12.8,0.0,73.3,169.5
2019-10-06,18.5,10.5,14.5,0.0,55.0,196.3
2019-10-07,17.5,13.0,15.2,0.0,53.9,152.1
2019-10-08,18.3,6.5,12.4,0.0,42.3,107.4
2019-10-09,19.2,5.1,12.2,0.0,77.4,155.6
2019-10-10,20.9,8.3,14.6,0.0,47.1,167.7
2019-10-11,15.1,9.0,12.0,0.0,60.6,155.0
2019-10-12,21.7,6.9,14.3,0.0,69.1,126.0
2019-10-13,13.3,10.1,11.7,0.0,64.2,103.8
2019-10-14,16.8,4.4,10.6,0.0,59.4,140.4
2019-10-15,18.1,8.3,13.2,0.2,63.0,180.3
2019-10-16,17.3,5.5,11.4,0.0,51.9,188.6
2019-10-17,15.3,10.0,12.7,0.0,61.9,184.1
2019-10-18,16.0,10.4,13.2,0.0,52.1,121.6
2019-10-19,15.3,4.7,10.0,5.5,82.0,109.1
2019-10-20,14.9,5.0,9.9,0.0,66.8,156.2
2019-10-21,17.6,7.6,12.6,0.0,69.6,158.0
2019-10-22,16.5,5.0,10.7,0.0,47.7,148.6
2019-10-23,14.2,5.5,9.9,0.0,82.0,73.8
2019-10-24,17.3,5.5,11.4,0.0,67.7,105.9
2019-10-25,15.9,1.5,8.7,0.0,60.0,128.7
2019-10-26,16.8,5.1,11.0,0.0,70.9,142.0
2019-10-27,16.3,3.6,9.9,0.0,83.7,148.1
2019-10-28,13.2,3.9,8.5,0.0,45.6,127.2
2019-10-29,13.6,7.6,10.6,0.0,57.7,130.6
2019-10-30,16.1,2.1,9.1,0.0,36.2,121.1
2019-10-31,15.6,6.1,10.8,0.0,61.9,136.9
2019-11-01,14.2,3.7,9.0,0.0,63.7,123.6
2019-11-02,14.4,3.6,9.0,0.0,59.6,114.1
2019-11-03,16.6,5.6,11.1,0.0,53.5,102.0
2019-11-04,12.7,4.5,8.6,0.0,39.5,110.4
2019-11-05,14.8,4.9,9.8,0.0,63.7,120.5
2019-11-06,13.2,5.5,9.4,0.0,74.6,112.0
2019-11-07,13.0,2.8,7.9,0.0,54.1,113.4
2019-11-08,15.5,2.1,8.8,0.0,64.4,140.3
2019-11-09,14.9,1.0,7.9,0.0,44.3,106.1
2019-11-10,14.7,1.4,8.1,0.0,64.6,76.8
2019-11-11,15.6,8.9,12.2,0.0,56.1,120.9
2019-11-12,12.9,5.3,9.1,0.0,52.4,51.6
2019-11-13,14.1,0.0,7.1,0.0,52.4,58.4
2019-11-14,12.0,-0.0,6.0,0.0,56.1,99.1
2019-11-15,13.1,3.5,8.3,0.0,63.8,102.8
2019-11-16,12.1,3.5,7.8,0.0,46.9,50.0
2019-11-17,12.5,3.4,7.9,0.0,56.0,72.5
2019-11-18,13.3,1.6,7.5,6.2,79.6,64.2
2019-11-19,10.4,1.8,6.1,0.0,49.0,66.2
2019-11-20,16.1,2.6,9.4,0.0,78.0,107.5
2019-11-21,9.8,2.0,5.9,0.0,51.5,98.9
2019-11-22,9.3,-2.7,3.3,0.0,53.3,75.7
2019-11-23,14.0,1.2,7.6,0.0,50.2,58.4
2019-11-24,13.1,-0.1,6.5,0.0,78.0,50.0
2019-11-25,12.7,1.8,7.3,0.0,65.5,114.6
2019-11-26,12.6,7.4,10.0,4.7,70.6,88.5
2019-11-27,11.3,2.0,6.6,9.8,91.1,50.0
2019-11-28,9.4,0.6,5.0,0.0,62.0,89.8
2019-11-29,11.3,3.0,7.1,0.0,62.6,64.8
2019-11-30,9.7,2.0,5.9,1.8,76.6,57.2
2019-12-01,12.9,1.8,7.4,0.0,52.5,77.7
2019-12-02,10.6,2.1,6.4,0.0,63.4,50.0
2019-12-03,9.2,4.9,7.1,0.0,54.5,52.2
2019-12-04,10.1,-1.5,4.3,0.0,78.2,65.1
2019-12-05,11.5,1.6,6.6,0.0,47.3,50.0
2019-12-06,9.5,-1.2,4.1,41.7,95.4,79.7
2019-12-07,8.9,1.7,5.3,0.0,58.9,114.8
2019-12-08,11.0,-1.3,4.8,0.0,63.0,50.0
2019-12-09,11.0,-0.4,5.3,0.0,68.3,50.0
2019-12-10,9.4,-0.2,4.6,33.8,73.7,50.0
2019-12-11,9.4,2.3,5.9,10.4,88.6,51.1
2019-12-12,10.8,2.2,6.5,0.0,32.9,50.0
2019-12-13,7.4,-2.2,2.6,0.0,52.8,60.5
2019-12-14,7.4,0.4,3.9,0.0,50.8,57.7
2019-12-15,8.8,-1.2,3.8,0.0,47.5,50.0
2019-12-16,9.7,-2.3,3.7,0.0,57.9,50.0
2019-12-17,10.8,-0.3,5.2,0.0,63.9,61.0
2019-12-18,13.1,-0.5,6.3,4.0,87.0,55.8
2019-12-19,11.8,4.9,8.4,0.0,62.4,50.0
2019-12-20,9.8,0.9,5.3,0.0,53.3,50.0
2019-12-21,10.0,-2.7,3.7,0.0,63.7,64.9
2019-12-22,8.0,-1.1,3.5,0.0,61.2,88.7
2019-12-23,10.0,2.1,6.0,0.0,69.4,58.7
2019-12-24,9.4,4.2,6.8,2.7,87.8,50.0
2019-12-25,10.7,-3.2,3.7,0.0,60.3,51.4
2019-12-26,8.3,-3.8,2.3,0.0,51.0,50.0
2019-12-27,11.0,3.7,7.4,0.2,73.5,81.7
2019-12-28,13.1,0.8,6.9,0.0,54.5,52.5
2019-12-29,9.8,-1.7,4.0,0.0,56.8,50.0
2019-12-30,10.8,1.1,6.0,0.0,62.7,50.0
2019-12-31,11.4,-5.2,3.1,0.0,67.2,64.3
2020-01-01,9.2,0.0,4.6,11.4,79.5,50.0
2020-01-02,10.5,0.7,5.6,0.0,60.2,50.0
2020-01-03,10.1,1.9,6.0,1.7,81.4,50.0
2020-01-04,10.3,-1.9,4.2,0.0,54.8,68.5
2020-01-05,8.6,0.3,4.4,0.0,50.7,50.0
2020-01-06,10.2,-1.7,4.3,9.7,62.4,50.0
2020-01-07,11.2,0.7,5.9,0.0,53.0,50.0
2020-01-08,13.1,-1.6,5.8,0.0,64.7,82.7
2020-01-09,12.2,-0.6,5.8,0.0,53.0,50.0
2020-01-10,14.6,-1.7,6.5,0.0,57.6,106.5
2020-01-11,8.8,1.6,5.2,0.0,64.7,67.9
2020-01-12,12.1,2.1,7.1,0.0,65.2,65.9
2020-01-13,10.8,-0.0,5.4,0.0,49.2,52.6
2020-01-14,14.9,0.6,7.7,0.0,70.0,55.2
2020-01-15,8.9,-2.4,3.3,0.0,71.3,50.1
2020-01-16,8.9,-0.0,4.5,0.0,48.7,50.0
2020-01-17,9.5,0.6,5.0,0.0,51.8,75.7
2020-01-18,6.5,6.0,6.2,27.6,91.9,50.0
2020-01-19,9.7,-1.4,4.1,0.0,58.5,50.0
2020-01-20,9.3,3.8,6.6,0.0,37.8,50.0
2020-01-21,11.2,2.9,7.1,16.4,66.0,125.2
2020-01-22,11.7,1.6,6.6,0.0,57.5,80.8
2020-01-23,14.8,4.6,9.7,0.0,48.4,75.2
2020-01-24,13.0,1.9,7.5,0.0,55.9,50.0
2020-01-25,10.1,2.0,6.0,1.6,80.3,87.1
2020-01-26,9.5,1.2,5.4,0.0,74.6,66.2
2020-01-27,12.4,3.8,8.1,0.0,57.1,77.4
2020-01-28,8.8,3.7,6.3,0.0,70.7,50.0
2020-01-29,15.2,0.3,7.8,32.3,94.3,78.5
2020-01-30,14.0,-1.0,6.5,1.5,94.3,62.4
2020-01-31,10.8,1.4,6.1,8.4,82.8,53.6
2020-02-01,8.4,0.3,4.4,0.0,40.4,100.1
2020-02-02,14.7,1.8,8.3,0.0,64.6,50.0
2020-02-03,11.8,4.6,8.2,0.0,70.5,98.1
2020-02-04,14.7,1.3,8.0,7.8,79.2,103.3
2020-02-05,9.1,2.2,5.7,0.0,77.4,58.0
2020-02-06,11.2,2.5,6.9,0.0,68.6,61.4
2020-02-07,12.5,4.2,8.4,11.5,85.7,81.0
2020-02-08,12.7,-1.9,5.4,0.0,70.9,97.9
2020-02-09,11.8,1.5,6.7,0.0,63.3,86.6
2020-02-10,14.1,3.3,8.7,0.0,35.1,106.0
2020-02-11,10.9,5.4,8.1,10.4,75.0,147.7
2020-02-12,12.8,2.1,7.5,20.6,92.0,81.5
2020-02-13,13.5,-0.5,6.5,0.0,51.9,50.0
2020-02-14,14.4,4.6,9.5,32.8,77.8,125.3
2020-02-15,14.9,2.2,8.6,0.0,49.6,152.9
2020-02-16,11.4,1.2,6.3,9.9,97.8,116.2
2020-02-17,10.7,2.5,6.6,0.0,76.8,73.8
2020-02-18,16.5,3.5,10.0,0.0,51.2,104.7
2020-02-19,14.7,2.8,8.8,0.0,61.5,77.0
2020-02-20,12.7,-0.2,6.2,0.0,53.2,131.9
2020-02-21,17.4,6.1,11.8,0.0,66.1,74.2
2020-02-22,14.7,7.0,10.8,0.0,65.1,107.8
2020-02-23,17.0,5.9,11.4,0.0,68.1,88.9
2020-02-24,14.9,2.5,8.7,7.9,83.3,125.0
2020-02-25,19.0,4.5,11.8,0.0,89.4,112.4
2020-02-26,18.6,5.0,11.8,5.4,69.7,130.9
2020-02-27,14.7,6.4,10.5,0.0,42.9,128.5
2020-02-28,17.3,6.7,12.0,0.0,56.1,100.6
2020-02-29,16.8,4.0,10.4,1.0,64.3,151.3
2020-03-01,18.4,5.8,12.1,0.0,45.1,133.3
2020-03-02,13.9,6.7,10.3,0.0,50.0,107.4
2020-03-03,17.3,8.9,13.1,12.7,70.8,206.7
2020-03-04,18.2,7.5,12.9,9.8,70.5,156.1
2020-03-05,12.8,7.9,10.3,0.0,65.2,139.6
2020-03-06,14.1,6.6,10.3,0.0,54.9,189.1
2020-03-07,12.5,9.4,11.0,0.0,58.2,204.3
2020-03-08,16.2,7.6,11.9,0.0,68.9,147.1
2020-03-09,18.4,5.2,11.8,0.0,52.3,164.3
2020-03-10,20.1,9.9,15.0,0.0,57.4,126.7
2020-03-11,17.4,8.7,13.0,0.0,63.7,154.4
2020-03-12,20.7,6.5,13.6,20.1,60.6,155.4
2020-03-13,14.8,6.6,10.7,0.0,36.2,169.4
2020-03-14,14.4,8.4,11.4,5.6,83.5,176.3
2020-03-15,17.8,8.9,13.3,0.0,64.9,185.7
2020-03-16,18.9,8.5,13.7,0.0,80.6,178.5
2020-03-17,18.2,8.9,13.5,0.0,61.6,137.6
2020-03-18,14.3,11.8,13.1,7.1,88.2,148.3
2020-03-19,18.4,10.7,14.6,0.0,58.0,162.7
2020-03-20,16.2,9.2,12.7,0.0,63.0,173.1
2020-03-21,20.3,10.8,15.6,0.0,76.7,215.7
2020-03-22,19.8,7.1,13.5,0.0,38.8,151.9
